architecture,source_dataset,target_dataset,bootstrap_requested_replicates,metric,bootstrap_valid_replicates,ci_95_lower,ci_95_upper
ecg_fm,code_ii,georgia,1000,auroc_rbbb,1000,0.9425423015013216,0.9894979888737603
ecg_fm,code_ii,georgia,1000,macro_auroc,1000,0.9374720007087317,0.9598947961346579
ecg_fm,code_ii,mimic_iv,1000,auroc_af_afl,1000,0.6780508879062843,0.7271668431600068
ecg_fm,code_ii,mimic_iv,1000,auroc_av_block_1,1000,0.5907753787088625,0.6529452941789803
ecg_fm,code_ii,mimic_iv,1000,auroc_lbbb,1000,0.7794250411841774,0.8369687414736189
ecg_fm,code_ii,mimic_iv,1000,auroc_normal,1000,0.5712829846259769,0.6152851286776411
ecg_fm,code_ii,mimic_iv,1000,auroc_rbbb,1000,0.7052377304239389,0.7583487668529876
ecg_fm,code_ii,mimic_iv,1000,macro_auroc,1000,0.6799549636560693,0.7036482948830455
ecg_fm,code_ii,code_ii,1000,auroc_af_afl,1000,0.9519036351247848,0.9933214087304435
ecg_fm,code_ii,code_ii,1000,auroc_av_block_1,1000,0.9835392450910947,0.9913722245447351
ecg_fm,code_ii,code_ii,1000,auroc_lbbb,1000,0.9947454328216253,0.9975117363796426
ecg_fm,code_ii,code_ii,1000,auroc_normal,1000,0.7973793617510067,0.8212262984223452
ecg_fm,code_ii,code_ii,1000,auroc_rbbb,1000,0.9783841377763145,0.9975494860041831
ecg_fm,code_ii,code_ii,1000,macro_auroc,1000,0.946471329635767,0.956630594277201

