architecture,source_dataset,target_dataset,matched_five_label_source_diagonal_auroc,matched_five_label_external_auroc,matched_five_label_gap,binary_source_diagonal_auroc,binary_external_auroc,binary_gap,absolute_gap_reduction,gap_direction
resnet1d,code_ii,georgia,0.985678158610731,0.9578263313929298,0.027851827217801217,0.987624663038242,0.97734335839599,0.010281304642252076,0.01757052257554914,reduced
resnet1d,code_ii,mimic_iv,0.985678158610731,0.9019715162242342,0.08370664238649683,0.987624663038242,0.9052276328127526,0.08239703022548939,0.0013096121610074452,reduced
resnet1d,code_ii,ptbxl,0.985678158610731,0.9817321919815558,0.003945966629175235,0.987624663038242,0.98537777597611,0.0022468870621320525,0.0016990795670431824,reduced
resnet1d,cpsc2018,code_ii,0.989254301303802,0.9783594593767274,0.010894841927074572,0.9801173052087816,0.9714620296628844,0.008655275545897179,0.0022395663811773936,reduced
resnet1d,cpsc2018,georgia,0.989254301303802,0.9596478373575944,0.029606463946207584,0.9801173052087816,0.9477318295739348,0.03238547563484684,-0.0027790116886392546,increased
resnet1d,cpsc2018,mimic_iv,0.989254301303802,0.9368652865281528,0.05238901477564917,0.9801173052087816,0.8627104754745044,0.11740682973427718,-0.06501781495862802,increased
resnet1d,cpsc2018,ptbxl,0.989254301303802,0.9728740540411746,0.016380247262627434,0.9801173052087816,0.9541503672024376,0.025966938006343976,-0.009586690743716542,increased
resnet1d,georgia,code_ii,0.9676037493731802,0.9760540286287184,-0.008450279255538207,0.9758897243107768,0.97898985783545,-0.0031001335246731987,-0.005350145730865008,increased
resnet1d,georgia,cpsc2018,0.9676037493731802,0.956291636458654,0.011312112914526162,0.9758897243107768,0.9690863108049936,0.0068034135057831735,0.004508699408742989,reduced
resnet1d,georgia,mimic_iv,0.9676037493731802,0.8977378857176725,0.06986586365550762,0.9758897243107768,0.8956200286157726,0.0802696956950042,-0.010403832039496574,increased
resnet1d,georgia,ptbxl,0.9676037493731802,0.9787012584111568,-0.011097509037976683,0.9758897243107768,0.982293545749978,-0.006403821439201152,-0.004693687598775531,increased
resnet1d,mimic_iv,code_ii,0.972427381247645,0.9381018222377324,0.03432555900991263,0.9344762464836552,0.9892319578118756,-0.054755711328220324,0.08908127033813296,reduced
resnet1d,mimic_iv,cpsc2018,0.972427381247645,0.9342228562039374,0.03820452504370764,0.9344762464836552,0.972610848041326,-0.03813460155767079,0.07633912660137843,reduced
resnet1d,mimic_iv,georgia,0.972427381247645,0.9396499448662198,0.03277743638142527,0.9344762464836552,0.9718421052631578,-0.0373658587795026,0.07014329516092788,reduced
resnet1d,mimic_iv,ptbxl,0.972427381247645,0.9610341343451216,0.011393246902523413,0.9344762464836552,0.982143219085068,-0.04766697260141273,0.05906021950393614,reduced
resnet1d,ptbxl,code_ii,0.988594346189015,0.9794604520736362,0.009133894115378793,0.9906831249028788,0.9800808195729938,0.010602305329885042,-0.001468411214506249,increased
