analysis_type,mapping_variant,architecture,source_dataset,target_dataset,is_diagonal,record_count,macro_auroc,auroc_normal,auroc_af_afl,auroc_av_block_1,auroc_lbbb,auroc_rbbb,auroc_bbb
posthoc_mapping_sensitivity_no_retraining,consensus_five_class,ecg_fm,mimic_iv,cpsc2018,False,688,0.9049556000448788,0.6628428654800117,0.9888851879742803,0.9368348665223665,0.957988202811245,0.9782268774364906,
posthoc_mapping_sensitivity_no_retraining,exclusive_normal_five_class,ecg_fm,mimic_iv,cpsc2018,False,688,0.9049556000448788,0.6628428654800117,0.9888851879742803,0.9368348665223665,0.957988202811245,0.9782268774364906,
posthoc_mapping_sensitivity_no_retraining,abnormal_only_four_class,ecg_fm,mimic_iv,cpsc2018,False,688,0.9654837836860957,,0.9888851879742803,0.9368348665223665,0.957988202811245,0.9782268774364906,
posthoc_mapping_sensitivity_no_retraining,merged_bbb_four_class,ecg_fm,mimic_iv,cpsc2018,False,688,0.8915494767564679,0.6628428654800117,0.9888851879742803,0.9368348665223665,,,0.977634987049213
posthoc_mapping_sensitivity_no_retraining,consensus_five_class,ecg_fm,mimic_iv,georgia,False,1034,0.8905598839884405,0.6704839514385497,0.9420608108108108,0.8782654127481713,0.991420461875887,0.9705687830687832,
posthoc_mapping_sensitivity_no_retraining,exclusive_normal_five_class,ecg_fm,mimic_iv,georgia,False,1034,0.8905598839884405,0.6704839514385497,0.9420608108108108,0.8782654127481713,0.991420461875887,0.9705687830687832,
posthoc_mapping_sensitivity_no_retraining,abnormal_only_four_class,ecg_fm,mimic_iv,georgia,False,1034,0.9455788671259131,,0.9420608108108108,0.8782654127481713,0.991420461875887,0.9705687830687832,
posthoc_mapping_sensitivity_no_retraining,merged_bbb_four_class,ecg_fm,mimic_iv,georgia,False,1034,0.8646331575452004,0.6704839514385497,0.9420608108108108,0.8782654127481713,,,0.9677224551832702
posthoc_mapping_sensitivity_no_retraining,consensus_five_class,ecg_fm,mimic_iv,mimic_iv,True,5000,0.9836359881109985,0.9859633306549408,0.9922059538912046,0.9844899846061425,0.9763829249810558,0.9791377464216486,
posthoc_mapping_sensitivity_no_retraining,exclusive_normal_five_class,ecg_fm,mimic_iv,mimic_iv,True,5000,0.9410672054681906,0.7731194174409011,0.9922059538912046,0.9844899846061425,0.9763829249810558,0.9791377464216486,
posthoc_mapping_sensitivity_no_retraining,abnormal_only_four_class,ecg_fm,mimic_iv,mimic_iv,True,5000,0.9830541524750129,,0.9922059538912046,0.9844899846061425,0.9763829249810558,0.9791377464216486,
posthoc_mapping_sensitivity_no_retraining,merged_bbb_four_class,ecg_fm,mimic_iv,mimic_iv,True,5000,0.9813386231407132,0.9859633306549408,0.9922059538912046,0.9844899846061425,,,0.9626952234105649
posthoc_mapping_sensitivity_no_retraining,consensus_five_class,ecg_fm,mimic_iv,code_ii,False,5000,0.8906435212457389,0.6270694721519903,0.953580654690508,0.8885793231043435,0.9940972625828199,0.9898908936990323,
posthoc_mapping_sensitivity_no_retraining,exclusive_normal_five_class,ecg_fm,mimic_iv,code_ii,False,5000,0.8906435212457389,0.6270694721519903,0.953580654690508,0.8885793231043435,0.9940972625828199,0.9898908936990323,
posthoc_mapping_sensitivity_no_retraining,abnormal_only_four_class,ecg_fm,mimic_iv,code_ii,False,5000,0.9565370335191758,,0.953580654690508,0.8885793231043435,0.9940972625828199,0.9898908936990323,
posthoc_mapping_sensitivity_no_retraining,merged_bbb_four_class,ecg_fm,mimic_iv,code_ii,False,5000,0.8640561948121463,0.6270694721519903,0.953580654690508,0.8885793231043435,,,0.9869953293017435
posthoc_mapping_sensitivity_no_retraining,consensus_five_class,ecg_fm,code_ii,ptbxl,False,2198,0.9625823240186605,0.9035482908084974,0.9715903594154233,0.9429035668843078,0.9984323175787728,0.9964370854063018,
posthoc_mapping_sensitivity_no_retraining,exclusive_normal_five_class,ecg_fm,code_ii,ptbxl,False,2198,0.9626877880874144,0.9040756111522661,0.9715903594154233,0.9429035668843078,0.9984323175787728,0.9964370854063018,
