analysis_type,architecture,source_dataset,target_dataset,aggregation,record_count_original,record_count_scored,excluded_all_zero_count,abnormal_prevalence,binary_auroc,five_label_macro_auroc_all_records,five_label_macro_auroc_binary_eligible_records
posthoc_label_collapse_no_retraining,ecg_fm,code_ii,mimic_iv,one_minus_normal,5000,4732,268,0.32967032967032966,0.6377953527661913,0.6918535162810573,0.6909366298596453
posthoc_label_collapse_no_retraining,ecg_fm,code_ii,code_ii,max_abnormal,5000,2321,2679,0.17578629900904783,0.9898917878704018,0.951675543324059,0.9889397808887915
posthoc_label_collapse_no_retraining,ecg_fm,code_ii,code_ii,noisy_or,5000,2321,2679,0.17578629900904783,0.9903197164908828,0.951675543324059,0.9889397808887915
posthoc_label_collapse_no_retraining,ecg_fm,code_ii,code_ii,one_minus_normal,5000,2321,2679,0.17578629900904783,0.985728452384613,0.951675543324059,0.9889397808887915
posthoc_label_collapse_no_retraining,inception_time,ptbxl,ptbxl,max_abnormal,2198,1267,931,0.24388318863456984,0.9906848139665294,0.9743695916380843,0.9881604539350267
posthoc_label_collapse_no_retraining,inception_time,ptbxl,ptbxl,noisy_or,2198,1267,931,0.24388318863456984,0.9909601313415896,0.9743695916380843,0.9881604539350267
posthoc_label_collapse_no_retraining,inception_time,ptbxl,ptbxl,one_minus_normal,2198,1267,931,0.24388318863456984,0.9814135435879766,0.9743695916380843,0.9881604539350267
posthoc_label_collapse_no_retraining,inception_time,ptbxl,cpsc2018,max_abnormal,688,496,192,0.8145161290322581,0.965050581145071,0.9313417562489313,0.933433431595747
posthoc_label_collapse_no_retraining,inception_time,ptbxl,cpsc2018,noisy_or,688,496,192,0.8145161290322581,0.9670415411106328,0.9313417562489313,0.933433431595747
posthoc_label_collapse_no_retraining,inception_time,ptbxl,cpsc2018,one_minus_normal,688,496,192,0.8145161290322581,0.9608668747309513,0.9313417562489313,0.933433431595747
posthoc_label_collapse_no_retraining,inception_time,ptbxl,georgia,max_abnormal,1034,403,631,0.56575682382134,0.972468671679198,0.9289557432088307,0.9418667688824339
posthoc_label_collapse_no_retraining,inception_time,ptbxl,georgia,noisy_or,1034,403,631,0.56575682382134,0.9732330827067669,0.9289557432088307,0.9418667688824339
posthoc_label_collapse_no_retraining,inception_time,ptbxl,georgia,one_minus_normal,1034,403,631,0.56575682382134,0.9374436090225565,0.9289557432088307,0.9418667688824339
posthoc_label_collapse_no_retraining,inception_time,ptbxl,mimic_iv,max_abnormal,5000,4732,268,0.32967032967032966,0.8965305396579041,0.8891108241939667,0.8969870486156137
posthoc_label_collapse_no_retraining,inception_time,ptbxl,mimic_iv,noisy_or,5000,4732,268,0.32967032967032966,0.8987583664758948,0.8891108241939667,0.8969870486156137
posthoc_label_collapse_no_retraining,inception_time,ptbxl,mimic_iv,one_minus_normal,5000,4732,268,0.32967032967032966,0.7312212023474634,0.8891108241939667,0.8969870486156137
posthoc_label_collapse_no_retraining,inception_time,ptbxl,code_ii,max_abnormal,5000,2321,2679,0.17578629900904783,0.9826695314822217,0.93203712823332,0.9758261167622655
posthoc_label_collapse_no_retraining,inception_time,ptbxl,code_ii,noisy_or,5000,2321,2679,0.17578629900904783,0.9816426309154084,0.93203712823332,0.9758261167622655
posthoc_label_collapse_no_retraining,inception_time,ptbxl,code_ii,one_minus_normal,5000,2321,2679,0.17578629900904783,0.9533724362719473,0.93203712823332,0.9758261167622655
posthoc_label_collapse_no_retraining,inception_time,cpsc2018,ptbxl,max_abnormal,2198,1267,931,0.24388318863456984,0.9566772064238469,0.9146747894013043,0.950802650485261
posthoc_label_collapse_no_retraining,inception_time,cpsc2018,ptbxl,noisy_or,2198,1267,931,0.24388318863456984,0.9689313632094911,0.9146747894013043,0.950802650485261
posthoc_label_collapse_no_retraining,inception_time,cpsc2018,ptbxl,one_minus_normal,2198,1267,931,0.24388318863456984,0.9731438879542736,0.9146747894013043,0.950802650485261
posthoc_label_collapse_no_retraining,inception_time,cpsc2018,cpsc2018,max_abnormal,688,496,192,0.8145161290322581,0.9823907662505381,0.9788489945677579,0.9862103034106611
posthoc_label_collapse_no_retraining,inception_time,cpsc2018,cpsc2018,noisy_or,688,496,192,0.8145161290322581,0.9846104175634954,0.9788489945677579,0.9862103034106611
